,0
0,https://uk.news.yahoo.com/marches-tears-argentina-abortion-law-vote-approaches-020911919.html
1,https://uk.news.yahoo.com/indonesia-issues-tsunami-warning-7-125210774.html
2,https://sg.finance.yahoo.com/news/building-ahead-demand-key-singapore-025923691.html
3,http://www.dailycal.org/2018/08/05/sunnyvale-cupertino-hidden-gems-silicon-valley/
4,https://www.yahoo.com/news/testimony-hand-man-critical-manafort-050457924.html
5,https://www.yahoo.com/news/20-arrested-during-no-marxism-052254491.html
6,https://www.theepochtimes.com/joel-robuchon-world-famous-french-chef-dies-at-his-home_2616146.html
7,https://www.yahoo.com/news/slovakia-probe-role-german-vietnamese-132656321.html
8,https://www.yahoo.com/news/hope-hick-seems-getting-her-142621019.html
9,https://www.yahoo.com/news/pepsico-upswing-wells-fargo-drops-intel-shares-slip-151826970.html
10,https://www.yahoo.com/news/crypto-media-totally-flubbed-bitcoin-172720387.html
11,https://www.yahoo.com/news/nail-salon-employees-hit-customers-broom-dispute-eyebrow-wax-155332625.html
12,https://www.yahoo.com/news/joe-arpaio-duped-admitting-far-151342499.html
13,https://www.yahoo.com/news/co-stars-mourn-facts-life-140734376.html
14,https://www.yahoo.com/news/freshman-usc-qb-j-t-171036544.html
15,https://www.yahoo.com/news/5-killed-small-plane-crash-152413053.html
16,https://www.yahoo.com/news/report-hall-fame-considers-requiring-inductees-show-150720895.html
17,https://www.yahoo.com/news/nascar-ceo-arrested-dwi-drug-164253711.html
18,https://www.yahoo.com/news/nascar-ceo-arrested-dwi-drug-164304999.html
19,https://www.yahoo.com/news/joe-arpaio-duped-admitting-far-151330343.html
20,https://www.yahoo.com/news/andrew-luck-very-nervous-field-142600239.html
21,https://www.yahoo.com/news/trade-fears-leave-markets-flat-142810493.html
22,https://www.yahoo.com/news/goldman-sachs-names-trading-chief-problems-cbs-itunes-drops-alex-jones-podcasts-150340277.html
23,https://www.yahoo.com/news/beyonce-reveals-scary-pregnancy-complications-exactly-toxemia-151729141.html
24,https://www.yahoo.com/news/stocks-choppy-china-plays-hardball-trade-153144121.html
25,https://www.yahoo.com/news/joe-arpaio-duped-admitting-far-151250611.html
26,https://www.yahoo.com/news/fugitive-25-hollywood-doesnt-make-movies-like-harrison-ford-blockbuster-anymore-140703471.html
27,https://www.yahoo.com/news/11-kids-discovered-mexico-compound-135356973.html
28,https://www.yahoo.com/news/medicare-could-save-business-trillions-142200700.html
29,https://www.yahoo.com/news/former-first-round-pick-corey-134213080.html
30,https://www.yahoo.com/news/candace-parker-hit-5-000-140229534.html
31,https://www.yahoo.com/news/yahoo-news-explains-fire-tornado-163522640.html
32,https://www.yahoo.com/news/business-coffee-wells-fargo-glitch-153359396.html
33,https://www.yahoo.com/news/hope-hick-seems-getting-her-142704565.html
34,https://www.yahoo.com/news/spike-lees-blackkklansman-confronts-legacy-hate-charlottesville-140013573.html
35,http://www.msn.com/en-us/money/markets/buffetts-dollar111-billion-cash-pile-intensifies-buyback-debate/ar-BBLyyj8
36,https://www.yahoo.com/news/apple-facebook-delete-content-us-conspiracy-theorist-alex-154611824.html
37,https://www.yahoo.com/news/pepsico-wells-fargo-intel-yahoo-150325600.html
38,https://www.yahoo.com/news/malia-obama-rocks-black-lace-bra-24-gold-hoop-earrings-nyc-170122629.html
39,https://www.yahoo.com/news/andrew-luck-very-nervous-field-142542206.html
40,https://www.yahoo.com/news/former-first-round-pick-corey-134204282.html
41,https://www.yahoo.com/news/trump-lawyer-sekulow-bad-information-142139352.html
42,https://www.yahoo.com/news/candace-parker-hit-5-000-140254636.html
43,https://www.yahoo.com/news/six-detained-failed-drone-attack-170949889.html
44,https://www.yahoo.com/news/russia-summons-greek-ambassador-moscow-over-diplomatic-row-144030679.html
45,https://www.yahoo.com/news/zimbabwe-apos-elections-were-meant-131931014.html
46,https://www.yahoo.com/news/violent-chicago-weekend-leaves-least-10-dead-dozens-121208743.html
47,https://www.yahoo.com/news/iconic-iron-bridge-reopens-iraqs-fallujah-153443663.html
48,https://www.yahoo.com/news/5-victims-identified-southern-california-150905574.html
49,https://www.yahoo.com/news/pepsico-indra-nooyi-stepping-down-ceo-153214403.html
50,https://www.yahoo.com/news/un-hails-credible-iraq-vote-recount-162730079.html
51,https://www.yahoo.com/news/fashion-elite-descend-iconic-lotusland-155730864.html
52,https://www.yahoo.com/news/dead-baby-found-water-beneath-103700387.html
53,https://www.yahoo.com/news/despite-progress-black-women-paid-110048543.html
54,https://www.yahoo.com/news/baby-boy-dies-tourists-him-141550778.html
55,https://www.yahoo.com/news/insurance-business-drives-berkshire-hathaway-inc-brk-b-133359909.html
56,https://www.yahoo.com/news/president-trump-acknowledges-trump-tower-142721688.html
57,https://www.yahoo.com/news/master-chef-joel-robuchon-shook-110507336.html
58,https://www.yahoo.com/news/trump-signs-order-reimposing-sanctions-105945976.html
59,https://www.yahoo.com/news/john-oliver-exposes-most-apos-092110879.html
60,https://www.yahoo.com/news/hong-kong-foreign-correspondents-club-stands-firm-against-143123016.html
61,https://www.yahoo.com/news/nra-complains-apos-ve-lost-214600986.html
62,https://www.yahoo.com/news/explore-hubert-givenchy-philippe-venets-120000938.html
63,https://www.yahoo.com/news/iraq-cuts-short-national-election-recount-baghdad-says-090757450.html
64,https://www.business-standard.com/article/international/as-buffett-s-cash-hits-111-bn-investors-wonder-how-to-reap-the-benefits-118080600763_1.html
65,https://www.yahoo.com/news/iran-says-trump-regional-allies-isolated-over-tehran-112644212.html
66,https://www.yahoo.com/news/saudi-arabia-expels-canadian-ambassador-073543525.html
67,https://www.yahoo.com/news/russia-appoints-hollywood-star-steven-022448929.html
68,https://www.yahoo.com/news/sanctions-reimposed-trump-administration-continues-164800903.html
69,https://www.yahoo.com/news/michelle-obama-announces-week-action-sign-voters-131414173--election.html
70,https://www.yahoo.com/news/trump-backs-kobach-republican-kansas-governor-nominee-164138100.html
71,https://www.yahoo.com/news/trump-breaks-aides-tweets-endorsement-kobach-160911499--election.html
72,https://www.yahoo.com/news/security-forces-eastern-ethiopia-kill-four-protesters-witness-170904116.html
73,https://www.yahoo.com/news/saudi-arabia-not-tolerate-outside-interference-affairs-foreign-171044891.html
74,https://www.yahoo.com/news/apos-once-see-images-understand-081041145.html
75,https://www.yahoo.com/news/latest-pompeo-says-iran-sanctions-enforced-232725948--politics.html
76,https://www.yahoo.com/news/wildfire-ireland-uncovered-remarkable-sight-093329917.html
77,https://finance.yahoo.com/news/san-francisco-apos-housing-market-173532641.html
78,https://www.yahoo.com/news/longtime-pepsico-ceo-indra-nooyi-112458281.html
79,https://www.yahoo.com/news/police-kids-compete-friendly-dance-031601542.html
80,https://www.yahoo.com/news/10-dead-more-50-injured-141620048.html
81,https://www.yahoo.com/news/hawaii-keeps-eye-hurricane-hector-204057036.html
82,https://www.yahoo.com/news/pepsi-names-ceo-wells-fargo-185921828.html
