,0
0,http://gawker.com/black-lives-matter-activist-deray-mckesson-freed-on-bon-1783425431
1,http://www.kxxv.com/story/32408818/protests-continue-in-baton-rouge-police-block-i-10-ramps
2,http://lacrossetribune.com/news/national/protests-continue-in-baton-rouge-police-block-i--ramps/article_94a3e1a5-8688-5e8c-8357-422409e581e3.html
3,http://www.wsar.com/national/feba7e39f9686a2ed12659c46075e616
4,http://www.livenewscentral.com/dallas-gunman-had-plans-for-wider-attack-police-say/
5,http://thevillagessuntimes.com/2016/07/11/deray-mckesson-black-lives-matter-activist-arrested-during/
6,http://customwire.ap.org/dynamic/stories/U/US_POLICE_SHOOTINGS_PROTESTS_LOUISIANA?SITE=VANOV&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-07-10-20-44-51
7,http://nymag.com/daily/intelligencer/2016/07/hundreds-arrested-during-blm-protests.html
8,http://www.WLOX.com/story/32408818/protests-continue-in-baton-rouge-police-block-i-10-ramps
9,http://www.arklatexhomepage.com/news/local-news/more-than-100-arrested-at-baton-rouge-protests
10,http://news.findlaw.com/apnews/a4b8c42bfafe469399ddba8ffa1bcbe7
11,http://hosted.ap.org/dynamic/stories/U/US_POLICE_SHOOTINGS_PROTESTS_LOUISIANA?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-07-10-20-44-51
12,https://www.washingtonpost.com/national/protests-continue-in-baton-rouge-police-block-i-10-ramps/2016/07/10/96f97b04-46fd-11e6-8dac-0c6e4accc5b1_story.html
13,http://thevillagessuntimes.com/2016/07/11/protest-continues-in-u-s-against-killing-of-black-men/
14,https://www.washingtonpost.com/national/black-lives-matter-activist-mckesson-again-in-the-limelight/2016/07/10/c8f3078e-46de-11e6-8dac-0c6e4accc5b1_story.html
15,http://wwlp.com/ap/black-lives-matter-activist-mckesson-released-from-jail/
16,http://mtstandard.com/news/national/protests-continue-in-baton-rouge-police-block-i--ramps/article_b990108c-9509-5266-af04-41985044606c.html
17,http://www.burlingtoncountytimes.com/news/national/black-lives-matter-activist-arrested-at-baton-rouge-protest/article_8c6d4af4-46de-11e6-bd34-a3b2d68ca2eb.html
18,http://www.wsar.com/national/483ba183fa935b97d45871a3224fcc03
19,http://www.starherald.com/news/nation_world/the-latest-more-arrests-sunday-in-baton-rouge/article_efc491bd-ce7d-5717-b7df-187ecc0b7b1d.html
20,http://www.wbbl.com/news/hundreds-arrested-in-protests-over-shootings-by-police/
21,http://www.se933.com/news-and-closings/national-headlines/483ba183fa935b97d45871a3224fcc03
22,http://www.ocregister.com/articles/police-722097-black-sunday.html
23,http://www.record-eagle.com/nation_world/the-latest-more-arrests-sunday-in-baton-rouge/article_dd9c3177-b2fb-5196-aff9-ff53334a03c7.html
24,http://foxbaltimore.com/news/nation-world/black-lives-matter-activist-mckesson-released-from-jail
